fold,prompt_id,method,label,score_field,score,threshold_at_1pct,predicted_at_1pct,threshold_at_5pct,predicted_at_5pct
2,1,No Watermark,0,z_score,1.7785945835997752,4.0422604172722165,False,1.940285000290664,False
3,2,No Watermark,0,z_score,0.0,4.0422604172722165,False,1.940285000290664,False
5,3,No Watermark,0,z_score,0.485071250072666,4.0422604172722165,False,1.940285000290664,False
1,4,No Watermark,0,z_score,-0.485071250072666,4.365641250653994,False,1.940285000290664,False
4,5,No Watermark,0,z_score,-0.970142500145332,2.748737083745107,False,1.940285000290664,False
4,6,No Watermark,0,z_score,-0.3233808333817773,2.748737083745107,False,1.940285000290664,False
3,7,No Watermark,0,z_score,0.0,4.0422604172722165,False,1.940285000290664,False
5,8,No Watermark,0,z_score,-0.485071250072666,4.0422604172722165,False,1.940285000290664,False
1,9,No Watermark,0,z_score,0.6467616667635546,4.365641250653994,False,1.940285000290664,False
3,10,No Watermark,0,z_score,-0.485071250072666,4.0422604172722165,False,1.940285000290664,False
2,11,No Watermark,0,z_score,-1.2935233335271092,4.0422604172722165,False,1.940285000290664,False
4,12,No Watermark,0,z_score,0.16169041669088866,2.748737083745107,False,1.940285000290664,False
4,13,No Watermark,0,z_score,-1.6169041669088866,2.748737083745107,False,1.940285000290664,False
2,14,No Watermark,0,z_score,-1.1318329168362207,4.0422604172722165,False,1.940285000290664,False
4,15,No Watermark,0,z_score,-1.2935233335271092,2.748737083745107,False,1.940285000290664,False
5,16,No Watermark,0,z_score,-0.485071250072666,4.0422604172722165,False,1.940285000290664,False
1,17,No Watermark,0,z_score,-0.485071250072666,4.365641250653994,False,1.940285000290664,False
3,18,No Watermark,0,z_score,0.5320545808955378,4.0422604172722165,False,1.940285000290664,False
3,19,No Watermark,0,z_score,-0.6467616667635546,4.0422604172722165,False,1.940285000290664,False
5,20,No Watermark,0,z_score,-0.3233808333817773,4.0422604172722165,False,1.940285000290664,False
4,21,No Watermark,0,z_score,-0.6467616667635546,2.748737083745107,False,1.940285000290664,False
1,22,No Watermark,0,z_score,-0.8084520834544433,4.365641250653994,False,1.940285000290664,False
